KEGG pathway	Protein accession	KEGG KO No.	T8/S Ratio	Regulated Type
map04932 Non-alcoholic fatty liver disease	Bax	K02159	1.5046829633792298	Up
map04932 Non-alcoholic fatty liver disease	Prkab2	K07199	1.55473934733855	Up
map04932 Non-alcoholic fatty liver disease	Ndufv3	K03944	0.49451717103026205	Down
map04932 Non-alcoholic fatty liver disease	Ndufs8	K03941	0.660594495784661	Down
map04932 Non-alcoholic fatty liver disease	Ndufa2	K03946	0.634595229376334	Down
map04932 Non-alcoholic fatty liver disease	Ndufa3	K03947	0.616424029451138	Down
map04932 Non-alcoholic fatty liver disease	Sdhb	K00235	0.663257105282385	Down
map04932 Non-alcoholic fatty liver disease	Ndufb4	K03960	0.6580519953369209	Down
map04932 Non-alcoholic fatty liver disease	Ndufa6	K03950	0.6665561028464649	Down
map04932 Non-alcoholic fatty liver disease	Ndufb3	K03959	0.629956687696537	Down
map04932 Non-alcoholic fatty liver disease	Uqcrfs1	K00411	0.6618085173435301	Down
map04932 Non-alcoholic fatty liver disease	Ndufs4	K03937	0.510683094198378	Down
map04932 Non-alcoholic fatty liver disease	Ndufs7	K03940	0.661745110054176	Down
map04932 Non-alcoholic fatty liver disease	Ndufa8	K03952	0.6647945018821	Down
map04932 Non-alcoholic fatty liver disease	Prkab1	K07199	0.511766871513126	Down
map04932 Non-alcoholic fatty liver disease	Ndufa7	K03951	0.556666139490748	Down
map04936 Alcoholic liver disease	Acacb	K01946	0.622585601404741	Down
map04936 Alcoholic liver disease	Adh1	K13951	0.42241472151335707	Down
map04936 Alcoholic liver disease	Mapk14	K04441	0.592220337127846	Down
map04936 Alcoholic liver disease	Acadvl	K09479	0.593214569386134	Down
map04936 Alcoholic liver disease	Prkab2	K07199	1.55473934733855	Up
map04936 Alcoholic liver disease	Lpin1	K15728	0.42778857210833104	Down
map04936 Alcoholic liver disease	Aldh1b1	K00128	0.552795814158734	Down
map04936 Alcoholic liver disease	Aldh9a1	K00149	0.4023221777734411	Down
map04936 Alcoholic liver disease	Prkab1	K07199	0.511766871513126	Down
map05012 Parkinson disease	Klc1	K10407	1.80874724024435	Up
map05012 Parkinson disease	Klc2	K10407	1.9563006939596	Up
map05012 Parkinson disease	Mapt	K04380	1.91219523146693	Up
map05012 Parkinson disease	Camk2a	K04515	0.4653693931398421	Down
map05012 Parkinson disease	Itpr1	K04958	2.40202879317972	Up
map05012 Parkinson disease	Cox7a1	K02270	0.622071928707829	Down
map05012 Parkinson disease	Uqcrh	K00416	0.524741619012644	Down
map05012 Parkinson disease	Bax	K02159	1.5046829633792298	Up
map05012 Parkinson disease	Ndufv3	K03944	0.49451717103026205	Down
map05012 Parkinson disease	Maob	K00274	0.5054750304917079	Down
map05012 Parkinson disease	Ndufs8	K03941	0.660594495784661	Down
map05012 Parkinson disease	Atp5f1c	K02136	0.655017283576817	Down
map05012 Parkinson disease	Ndufa2	K03946	0.634595229376334	Down
map05012 Parkinson disease	Ndufa3	K03947	0.616424029451138	Down
map05012 Parkinson disease	Sdhb	K00235	0.663257105282385	Down
map05012 Parkinson disease	Ndufb4	K03960	0.6580519953369209	Down
map05012 Parkinson disease	Ndufa6	K03950	0.6665561028464649	Down
map05012 Parkinson disease	Ndufb3	K03959	0.629956687696537	Down
map05012 Parkinson disease	Uqcrfs1	K00411	0.6618085173435301	Down
map05012 Parkinson disease	Ndufs4	K03937	0.510683094198378	Down
map05012 Parkinson disease	Klc4	K10407	1.5706451500226999	Up
map05012 Parkinson disease	Gnai3	K04630	1.53824141519251	Up
map05012 Parkinson disease	Ndufs7	K03940	0.661745110054176	Down
map05012 Parkinson disease	Ndufa8	K03952	0.6647945018821	Down
map05012 Parkinson disease	Tubb3	K07375	2.03981758234986	Up
map05012 Parkinson disease	Htra2	K08669	0.6530335395175091	Down
map05012 Parkinson disease	Uchl1	K05611	2.23340636679985	Up
map05012 Parkinson disease	Ndufa7	K03951	0.556666139490748	Down
map05020 Prion disease	Ryr2	K04962	0.650801781223322	Down
map05020 Prion disease	Klc1	K10407	1.80874724024435	Up
map05020 Prion disease	Klc2	K10407	1.9563006939596	Up
map05020 Prion disease	Prnp	K05634	2.2276950632486296	Up
map05020 Prion disease	Itpr1	K04958	2.40202879317972	Up
map05020 Prion disease	Mapk14	K04441	0.592220337127846	Down
map05020 Prion disease	Cav3	K12959	0.5477406574579721	Down
map05020 Prion disease	Cox7a1	K02270	0.622071928707829	Down
map05020 Prion disease	Uqcrh	K00416	0.524741619012644	Down
map05020 Prion disease	Bax	K02159	1.5046829633792298	Up
map05020 Prion disease	Ndufv3	K03944	0.49451717103026205	Down
map05020 Prion disease	Ndufs8	K03941	0.660594495784661	Down
map05020 Prion disease	Atp5f1c	K02136	0.655017283576817	Down
map05020 Prion disease	Ndufa2	K03946	0.634595229376334	Down
map05020 Prion disease	Ndufa3	K03947	0.616424029451138	Down
map05020 Prion disease	Sdhb	K00235	0.663257105282385	Down
map05020 Prion disease	Ndufb4	K03960	0.6580519953369209	Down
map05020 Prion disease	Ndufa6	K03950	0.6665561028464649	Down
map05020 Prion disease	Ndufb3	K03959	0.629956687696537	Down
map05020 Prion disease	Uqcrfs1	K00411	0.6618085173435301	Down
map05020 Prion disease	Ndufs4	K03937	0.510683094198378	Down
map05020 Prion disease	Klc4	K10407	1.5706451500226999	Up
map05020 Prion disease	Ndufs7	K03940	0.661745110054176	Down
map05020 Prion disease	Ndufa8	K03952	0.6647945018821	Down
map05020 Prion disease	Tubb3	K07375	2.03981758234986	Up
map05020 Prion disease	Ndufa7	K03951	0.556666139490748	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Sod2	K04564	0.662181554680951	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ephx2	K08726	0.6658936328550911	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ptpn1	K05696	1.6300795708076998	Up
map05208 Chemical carcinogenesis - reactive oxygen species	Mapk14	K04441	0.592220337127846	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Cox7a1	K02270	0.622071928707829	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Uqcrh	K00416	0.524741619012644	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Nqo1	K00355	1.87836826347305	Up
map05208 Chemical carcinogenesis - reactive oxygen species	Gstm7	K00799	0.526424419577611	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufv3	K03944	0.49451717103026205	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufs8	K03941	0.660594495784661	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Atp5f1c	K02136	0.655017283576817	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufa2	K03946	0.634595229376334	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufa3	K03947	0.616424029451138	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Sdhb	K00235	0.663257105282385	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufb4	K03960	0.6580519953369209	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufa6	K03950	0.6665561028464649	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufb3	K03959	0.629956687696537	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Uqcrfs1	K00411	0.6618085173435301	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufs4	K03937	0.510683094198378	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ephx1	K01253	2.04680416581581	Up
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufs7	K03940	0.661745110054176	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufa8	K03952	0.6647945018821	Down
map05208 Chemical carcinogenesis - reactive oxygen species	Ndufa7	K03951	0.556666139490748	Down
map05415 Diabetic cardiomyopathy	Ryr2	K04962	0.650801781223322	Down
map05415 Diabetic cardiomyopathy	Ace	K01283	4.5646577949734	Up
map05415 Diabetic cardiomyopathy	Parp1	K24070	0.589904725447663	Down
map05415 Diabetic cardiomyopathy	Camk2a	K04515	0.4653693931398421	Down
map05415 Diabetic cardiomyopathy	Prkca	K02677	1.8275710621552301	Up
map05415 Diabetic cardiomyopathy	Mapk14	K04441	0.592220337127846	Down
map05415 Diabetic cardiomyopathy	Cpt2	K08766	0.6249126077837329	Down
map05415 Diabetic cardiomyopathy	Cox7a1	K02270	0.622071928707829	Down
map05415 Diabetic cardiomyopathy	Uqcrh	K00416	0.524741619012644	Down
map05415 Diabetic cardiomyopathy	Ndufv3	K03944	0.49451717103026205	Down
map05415 Diabetic cardiomyopathy	Tbc1d4	K17902	0.46014014580190993	Down
map05415 Diabetic cardiomyopathy	Ndufs8	K03941	0.660594495784661	Down
map05415 Diabetic cardiomyopathy	Atp5f1c	K02136	0.655017283576817	Down
map05415 Diabetic cardiomyopathy	Ndufa2	K03946	0.634595229376334	Down
map05415 Diabetic cardiomyopathy	Ndufa3	K03947	0.616424029451138	Down
map05415 Diabetic cardiomyopathy	Sdhb	K00235	0.663257105282385	Down
map05415 Diabetic cardiomyopathy	Ndufb4	K03960	0.6580519953369209	Down
map05415 Diabetic cardiomyopathy	Ndufa6	K03950	0.6665561028464649	Down
map05415 Diabetic cardiomyopathy	Ndufb3	K03959	0.629956687696537	Down
map05415 Diabetic cardiomyopathy	Uqcrfs1	K00411	0.6618085173435301	Down
map05415 Diabetic cardiomyopathy	Ndufs4	K03937	0.510683094198378	Down
map05415 Diabetic cardiomyopathy	Ndufs7	K03940	0.661745110054176	Down
map05415 Diabetic cardiomyopathy	Ndufa8	K03952	0.6647945018821	Down
map05415 Diabetic cardiomyopathy	Ndufa7	K03951	0.556666139490748	Down
map00910 Nitrogen metabolism	Glul	K01915	1.53409830498882	Up
map00910 Nitrogen metabolism	Ca4	K18246	0.40688678217282304	Down
map00910 Nitrogen metabolism	Ca14	K01672	0.44499773092949396	Down
